timestamp,region,fuel_type,demand,price
2026-02-21 14:25:00+10:00,QLD1,Unknown,5187.63,-1.0
2026-02-21 14:25:00+10:00,SA1,Unknown,1159.16,0.0
2026-02-21 14:25:00+10:00,TAS1,Unknown,807.63,88.08
2026-02-21 14:25:00+10:00,VIC1,Unknown,3736.29,0.0
2026-02-21 14:30:00+10:00,NSW1,Unknown,10026.43,57.08
2026-02-21 14:30:00+10:00,QLD1,Unknown,5254.16,0.02
2026-02-21 14:30:00+10:00,SA1,Unknown,1181.07,24.79
2026-02-21 14:30:00+10:00,TAS1,Unknown,807.28,88.08
2026-02-21 14:30:00+10:00,VIC1,Unknown,3875.51,22.05
2026-02-21 14:35:00+10:00,NSW1,Unknown,9969.77,40.54
2026-02-21 14:35:00+10:00,QLD1,Unknown,5369.0,0.02
2026-02-21 14:35:00+10:00,SA1,Unknown,1196.64,58.58
2026-02-21 14:35:00+10:00,TAS1,Unknown,816.66,88.14
2026-02-21 14:35:00+10:00,VIC1,Unknown,3945.85,14.06
2026-02-21 14:40:00+10:00,NSW1,Unknown,10005.76,56.98
2026-02-21 14:40:00+10:00,QLD1,Unknown,5438.27,-1.0
2026-02-21 14:40:00+10:00,SA1,Unknown,1267.63,33.47
2026-02-21 14:40:00+10:00,TAS1,Unknown,819.69,88.14
2026-02-21 14:40:00+10:00,VIC1,Unknown,4061.72,29.06
2026-02-21 14:45:00+10:00,NSW1,Unknown,9965.8,57.06
2026-02-21 14:45:00+10:00,QLD1,Unknown,5521.89,-1.0
2026-02-21 14:45:00+10:00,SA1,Unknown,1238.01,60.8
2026-02-21 14:45:00+10:00,TAS1,Unknown,813.63,88.08
2026-02-21 14:45:00+10:00,VIC1,Unknown,4161.68,52.71
2026-02-21 14:50:00+10:00,NSW1,Unknown,10054.86,57.06
2026-02-21 14:50:00+10:00,QLD1,Unknown,5612.49,0.02
2026-02-21 14:50:00+10:00,SA1,Unknown,1234.68,10.23
2026-02-21 14:50:00+10:00,TAS1,Unknown,811.81,88.08
2026-02-21 14:50:00+10:00,VIC1,Unknown,4230.57,8.95
2026-02-21 14:55:00+10:00,NSW1,Unknown,10009.01,56.98
2026-02-21 14:55:00+10:00,QLD1,Unknown,5664.1,49.14
2026-02-21 14:55:00+10:00,SA1,Unknown,1262.48,10.24
2026-02-21 14:55:00+10:00,TAS1,Unknown,816.07,88.08
2026-02-21 14:55:00+10:00,VIC1,Unknown,4193.37,8.95
2026-02-21 15:00:00+10:00,NSW1,Unknown,10031.34,57.06
2026-02-21 15:00:00+10:00,QLD1,Unknown,5762.11,50.0
2026-02-21 15:00:00+10:00,SA1,Unknown,1317.25,24.5
2026-02-21 15:00:00+10:00,TAS1,Unknown,822.35,88.08
2026-02-21 15:00:00+10:00,VIC1,Unknown,4373.06,21.03
2026-02-21 15:05:00+10:00,NSW1,Unknown,9989.72,57.06
2026-02-21 15:05:00+10:00,QLD1,Unknown,5907.62,20.2
2026-02-21 15:05:00+10:00,SA1,Unknown,1381.98,123.45
2026-02-21 15:05:00+10:00,TAS1,Unknown,842.31,88.79
2026-02-21 15:05:00+10:00,VIC1,Unknown,4468.81,53.71
2026-02-21 15:10:00+10:00,NSW1,Unknown,9980.97,57.06
2026-02-21 15:10:00+10:00,QLD1,Unknown,5996.91,40.03
2026-02-21 15:10:00+10:00,SA1,Unknown,1457.56,170.44
2026-02-21 15:10:00+10:00,TAS1,Unknown,849.95,101.04
2026-02-21 15:10:00+10:00,VIC1,Unknown,4501.92,53.52
2026-02-21 15:15:00+10:00,NSW1,Unknown,10045.68,57.08
2026-02-21 15:15:00+10:00,QLD1,Unknown,6115.59,49.38
2026-02-21 15:15:00+10:00,SA1,Unknown,1466.31,275.98
2026-02-21 15:15:00+10:00,TAS1,Unknown,862.07,88.14
2026-02-21 15:15:00+10:00,VIC1,Unknown,4658.39,55.11
2026-02-21 15:20:00+10:00,NSW1,Unknown,10089.82,57.08
2026-02-21 15:20:00+10:00,QLD1,Unknown,6173.63,49.78
2026-02-21 15:20:00+10:00,SA1,Unknown,1401.38,225.85
2026-02-21 15:20:00+10:00,TAS1,Unknown,859.92,89.14
2026-02-21 15:20:00+10:00,VIC1,Unknown,4632.08,53.71
2026-02-21 15:25:00+10:00,NSW1,Unknown,10242.7,57.31
2026-02-21 15:25:00+10:00,QLD1,Unknown,6284.55,50.45
2026-02-21 15:25:00+10:00,SA1,Unknown,1399.58,79.05
2026-02-21 15:25:00+10:00,TAS1,Unknown,869.98,100.5
2026-02-21 15:25:00+10:00,VIC1,Unknown,4762.11,54.64
2026-02-21 15:30:00+10:00,NSW1,Unknown,10214.63,57.08
2026-02-21 15:30:00+10:00,QLD1,Unknown,6351.52,45.84
2026-02-21 15:30:00+10:00,SA1,Unknown,1510.65,138.04
2026-02-21 15:30:00+10:00,TAS1,Unknown,875.27,101.03
2026-02-21 15:30:00+10:00,VIC1,Unknown,4796.85,55.68
2026-02-21 15:35:00+10:00,NSW1,Unknown,10147.55,57.06
2026-02-21 15:35:00+10:00,QLD1,Unknown,6437.98,42.67
2026-02-21 15:35:00+10:00,SA1,Unknown,1559.31,91.44
2026-02-21 15:35:00+10:00,TAS1,Unknown,883.07,101.03
2026-02-21 15:35:00+10:00,VIC1,Unknown,4806.17,55.51
2026-02-21 15:40:00+10:00,NSW1,Unknown,10157.16,43.58
2026-02-21 15:40:00+10:00,QLD1,Unknown,6455.03,35.0
2026-02-21 15:40:00+10:00,SA1,Unknown,1730.12,275.98
2026-02-21 15:40:00+10:00,TAS1,Unknown,892.54,101.04
2026-02-21 15:40:00+10:00,VIC1,Unknown,4816.45,43.15
2026-02-21 15:45:00+10:00,NSW1,Unknown,10167.2,57.06
2026-02-21 15:45:00+10:00,QLD1,Unknown,6542.74,49.56
2026-02-21 15:45:00+10:00,SA1,Unknown,1754.83,170.44
2026-02-21 15:45:00+10:00,TAS1,Unknown,902.91,101.04
2026-02-21 15:45:00+10:00,VIC1,Unknown,4974.15,56.5
2026-02-21 15:50:00+10:00,NSW1,Unknown,10255.7,57.08
2026-02-21 15:50:00+10:00,QLD1,Unknown,6621.09,50.25
2026-02-21 15:50:00+10:00,SA1,Unknown,1885.26,230.0
2026-02-21 15:50:00+10:00,TAS1,Unknown,909.69,101.04
