timestamp,region,fuel_type,energy,power
2026-01-29 04:00:00+10:00,NSW1,battery_charging,7.1767,86.1238
2026-01-29 04:00:00+10:00,NSW1,battery_discharging,12.0191,144.2229
2026-01-29 04:00:00+10:00,NSW1,bioenergy,49.863,598.3544
2026-01-29 04:00:00+10:00,NSW1,coal,4262.3596,51148.321
2026-01-29 04:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 04:00:00+10:00,NSW1,gas,44.1841,530.21
2026-01-29 04:00:00+10:00,NSW1,hydro,359.8234,4317.8797
2026-01-29 04:00:00+10:00,NSW1,pumps,0.0,0.0
2026-01-29 04:00:00+10:00,NSW1,solar,0.0264,0.3144
2026-01-29 04:00:00+10:00,NSW1,wind,1577.7765,18933.312
2026-01-29 04:00:00+10:00,QLD1,battery,31.6888,380.2707
2026-01-29 04:00:00+10:00,QLD1,battery_charging,7.1266,85.52
2026-01-29 04:00:00+10:00,QLD1,battery_discharging,47.8353,574.0305
2026-01-29 04:00:00+10:00,QLD1,bioenergy,23.7838,285.4
2026-01-29 04:00:00+10:00,QLD1,coal,5115.6072,61387.279
2026-01-29 04:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 04:00:00+10:00,QLD1,gas,126.3046,1515.6484
2026-01-29 04:00:00+10:00,QLD1,hydro,109.7483,1316.98
2026-01-29 04:00:00+10:00,QLD1,pumps,0.0,0.0
2026-01-29 04:00:00+10:00,QLD1,solar,0.436,5.2471
2026-01-29 04:00:00+10:00,QLD1,wind,964.2091,11570.506
2026-01-29 04:00:00+10:00,SA1,battery,-29.83,-357.9635
2026-01-29 04:00:00+10:00,SA1,battery_charging,57.4023,688.8284
2026-01-29 04:00:00+10:00,SA1,battery_discharging,27.4544,329.4504
2026-01-29 04:00:00+10:00,SA1,distillate,-0.0166,-0.2
2026-01-29 04:00:00+10:00,SA1,gas,42.0201,504.2548
2026-01-29 04:00:00+10:00,SA1,solar,0.0,0.0
2026-01-29 04:00:00+10:00,SA1,wind,1826.5747,21918.895
2026-01-29 04:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 04:00:00+10:00,TAS1,hydro,791.9771,9503.7236
2026-01-29 04:00:00+10:00,TAS1,solar,0.0,0.0
2026-01-29 04:00:00+10:00,TAS1,wind,124.1341,1489.61
2026-01-29 04:00:00+10:00,VIC1,battery,-70.2163,-842.5895
2026-01-29 04:00:00+10:00,VIC1,battery_charging,73.1559,877.8658
2026-01-29 04:00:00+10:00,VIC1,battery_discharging,2.9396,35.2763
2026-01-29 04:00:00+10:00,VIC1,coal,3922.5533,47070.625
2026-01-29 04:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 04:00:00+10:00,VIC1,hydro,13.4983,161.98
2026-01-29 04:00:00+10:00,VIC1,solar,-0.1677,-2.01
2026-01-29 04:00:00+10:00,VIC1,wind,1898.2512,22779.001
2026-01-29 05:00:00+10:00,NSW1,battery,91.1444,1093.7286
2026-01-29 05:00:00+10:00,NSW1,battery_charging,15.6427,187.7145
2026-01-29 05:00:00+10:00,NSW1,battery_discharging,106.7871,1281.4431
2026-01-29 05:00:00+10:00,NSW1,bioenergy,45.6246,547.4945
2026-01-29 05:00:00+10:00,NSW1,coal,4440.4101,53284.916
2026-01-29 05:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 05:00:00+10:00,NSW1,gas,42.7816,513.38
2026-01-29 05:00:00+10:00,NSW1,hydro,472.7436,5672.918
2026-01-29 05:00:00+10:00,NSW1,pumps,0.0,0.0
2026-01-29 05:00:00+10:00,NSW1,solar,30.7076,368.4882
2026-01-29 05:00:00+10:00,NSW1,wind,1549.4098,18592.911
2026-01-29 05:00:00+10:00,QLD1,battery,146.6915,1760.2979
2026-01-29 05:00:00+10:00,QLD1,battery_charging,2.3869,28.6427
2026-01-29 05:00:00+10:00,QLD1,battery_discharging,188.1098,2257.3181
2026-01-29 05:00:00+10:00,QLD1,bioenergy,24.1921,290.3
2026-01-29 05:00:00+10:00,QLD1,coal,5460.8021,65529.616
2026-01-29 05:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 05:00:00+10:00,QLD1,gas,126.5942,1519.1284
2026-01-29 05:00:00+10:00,QLD1,hydro,130.1578,1561.8925
2026-01-29 05:00:00+10:00,QLD1,pumps,0.0,0.0
2026-01-29 05:00:00+10:00,QLD1,solar,11.0217,132.2724
2026-01-29 05:00:00+10:00,QLD1,wind,931.0092,11172.113
2026-01-29 05:00:00+10:00,SA1,battery,87.1755,1046.1038
2026-01-29 05:00:00+10:00,SA1,battery_charging,1.376,16.5114
2026-01-29 05:00:00+10:00,SA1,battery_discharging,88.3223,1059.8654
2026-01-29 05:00:00+10:00,SA1,distillate,0.0,0.0
2026-01-29 05:00:00+10:00,SA1,gas,42.0351,504.431
2026-01-29 05:00:00+10:00,SA1,solar,0.0,0.0
2026-01-29 05:00:00+10:00,SA1,wind,1699.144,20389.73
2026-01-29 05:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 05:00:00+10:00,TAS1,hydro,895.5182,10746.228
2026-01-29 05:00:00+10:00,TAS1,solar,0.2268,2.718
2026-01-29 05:00:00+10:00,TAS1,wind,116.313,1395.76
2026-01-29 05:00:00+10:00,VIC1,battery,22.7177,272.6143
2026-01-29 05:00:00+10:00,VIC1,battery_charging,3.6086,43.3033
2026-01-29 05:00:00+10:00,VIC1,battery_discharging,26.3263,315.9176
2026-01-29 05:00:00+10:00,VIC1,coal,4329.43,51953.157
2026-01-29 05:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 05:00:00+10:00,VIC1,hydro,56.2751,675.3
2026-01-29 05:00:00+10:00,VIC1,solar,0.3362,4.032
2026-01-29 05:00:00+10:00,VIC1,wind,1669.2571,20031.089
2026-01-29 06:00:00+10:00,NSW1,battery,98.3704,1180.4422
2026-01-29 06:00:00+10:00,NSW1,battery_charging,23.1559,277.8679
2026-01-29 06:00:00+10:00,NSW1,battery_discharging,121.5263,1458.3101
2026-01-29 06:00:00+10:00,NSW1,bioenergy,38.9292,467.1487
2026-01-29 06:00:00+10:00,NSW1,coal,4480.6051,53767.268
2026-01-29 06:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 06:00:00+10:00,NSW1,gas,43.7259,524.71
2026-01-29 06:00:00+10:00,NSW1,hydro,298.1046,3577.2542
2026-01-29 06:00:00+10:00,NSW1,pumps,0.0,0.0
2026-01-29 06:00:00+10:00,NSW1,solar,1451.821,17421.855
2026-01-29 06:00:00+10:00,NSW1,wind,1468.091,17617.088
2026-01-29 06:00:00+10:00,QLD1,battery,56.1013,673.2148
2026-01-29 06:00:00+10:00,QLD1,battery_charging,13.6679,164.017
2026-01-29 06:00:00+10:00,QLD1,battery_discharging,81.1428,973.7141
2026-01-29 06:00:00+10:00,QLD1,bioenergy,24.442,293.3
2026-01-29 06:00:00+10:00,QLD1,coal,5056.3678,60676.407
2026-01-29 06:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 06:00:00+10:00,QLD1,gas,124.9183,1499.0164
2026-01-29 06:00:00+10:00,QLD1,hydro,102.3163,1227.795
2026-01-29 06:00:00+10:00,QLD1,pumps,0.0,0.0
2026-01-29 06:00:00+10:00,QLD1,solar,900.8239,10809.874
2026-01-29 06:00:00+10:00,QLD1,wind,861.7263,10340.719
2026-01-29 06:00:00+10:00,SA1,battery,59.8813,718.5836
2026-01-29 06:00:00+10:00,SA1,battery_charging,3.0695,36.8315
2026-01-29 06:00:00+10:00,SA1,battery_discharging,62.7548,753.0622
2026-01-29 06:00:00+10:00,SA1,distillate,0.0,0.0
2026-01-29 06:00:00+10:00,SA1,gas,41.2702,495.2548
2026-01-29 06:00:00+10:00,SA1,solar,10.0751,120.9007
2026-01-29 06:00:00+10:00,SA1,wind,1735.2636,20823.154
2026-01-29 06:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 06:00:00+10:00,TAS1,hydro,947.0508,11364.612
2026-01-29 06:00:00+10:00,TAS1,solar,13.7838,165.408
2026-01-29 06:00:00+10:00,TAS1,wind,98.2727,1179.27
2026-01-29 06:00:00+10:00,VIC1,battery,80.9714,971.6563
2026-01-29 06:00:00+10:00,VIC1,battery_charging,3.8082,45.6951
2026-01-29 06:00:00+10:00,VIC1,battery_discharging,84.7796,1017.3514
2026-01-29 06:00:00+10:00,VIC1,coal,4402.9144,52834.969
2026-01-29 06:00:00+10:00,VIC1,gas,0.0,0.0
2026-01-29 06:00:00+10:00,VIC1,hydro,47.4247,569.1
2026-01-29 06:00:00+10:00,VIC1,solar,180.5423,2166.5035
2026-01-29 06:00:00+10:00,VIC1,wind,1509.5893,18115.076
2026-01-29 07:00:00+10:00,NSW1,battery,-125.0223,-1500.2737
2026-01-29 07:00:00+10:00,NSW1,battery_charging,126.1545,1513.8535
2026-01-29 07:00:00+10:00,NSW1,battery_discharging,1.1322,13.5798
2026-01-29 07:00:00+10:00,NSW1,bioenergy,38.2882,459.4569
2026-01-29 07:00:00+10:00,NSW1,coal,3595.0343,43140.413
2026-01-29 07:00:00+10:00,NSW1,distillate,0.0,0.0
2026-01-29 07:00:00+10:00,NSW1,gas,44.16,529.92
2026-01-29 07:00:00+10:00,NSW1,hydro,34.969,419.6287
2026-01-29 07:00:00+10:00,NSW1,pumps,55.1848,662.2171
2026-01-29 07:00:00+10:00,NSW1,solar,3959.1571,50518.747
2026-01-29 07:00:00+10:00,NSW1,wind,1177.0831,14125.0
2026-01-29 07:00:00+10:00,QLD1,battery,-334.9442,-4019.3376
2026-01-29 07:00:00+10:00,QLD1,battery_charging,354.0127,4248.1572
2026-01-29 07:00:00+10:00,QLD1,battery_discharging,7.5645,90.7708
2026-01-29 07:00:00+10:00,QLD1,bioenergy,24.2173,290.6
2026-01-29 07:00:00+10:00,QLD1,coal,4266.3096,51195.712
2026-01-29 07:00:00+10:00,QLD1,distillate,0.0,0.0
2026-01-29 07:00:00+10:00,QLD1,gas,122.7517,1473.0154
2026-01-29 07:00:00+10:00,QLD1,hydro,87.8881,1054.6575
2026-01-29 07:00:00+10:00,QLD1,pumps,264.9216,3179.06
2026-01-29 07:00:00+10:00,QLD1,solar,2970.7414,38128.763
2026-01-29 07:00:00+10:00,QLD1,wind,886.0781,10632.941
2026-01-29 07:00:00+10:00,SA1,battery,8.7352,104.8086
2026-01-29 07:00:00+10:00,SA1,battery_charging,5.2584,63.1034
2026-01-29 07:00:00+10:00,SA1,battery_discharging,13.8507,166.1999
2026-01-29 07:00:00+10:00,SA1,distillate,0.0,0.0
2026-01-29 07:00:00+10:00,SA1,gas,41.5358,498.441
2026-01-29 07:00:00+10:00,SA1,solar,126.2992,1639.2056
2026-01-29 07:00:00+10:00,SA1,wind,1657.2161,19886.593
2026-01-29 07:00:00+10:00,TAS1,gas,0.0,0.0
2026-01-29 07:00:00+10:00,TAS1,hydro,865.1557,10381.874
2026-01-29 07:00:00+10:00,TAS1,solar,39.4242,582.654
2026-01-29 07:00:00+10:00,TAS1,wind,122.1334,1465.6
2026-01-29 07:00:00+10:00,VIC1,battery,-29.5346,-354.4135
2026-01-29 07:00:00+10:00,VIC1,battery_charging,34.9059,418.8705
